pref,city,sex,count
北海道,夕張郡栗山町,女,6046
北海道,樺戸郡月形町,計,2955
北海道,樺戸郡月形町,男,1501
北海道,樺戸郡月形町,女,1454
北海道,樺戸郡浦臼町,計,1692
北海道,樺戸郡浦臼町,男,817
北海道,樺戸郡浦臼町,女,875
北海道,樺戸郡新十津川町,計,6507
北海道,樺戸郡新十津川町,男,3035
北海道,樺戸郡新十津川町,女,3472
北海道,雨竜郡妹背牛町,計,2757
北海道,雨竜郡妹背牛町,男,1312
北海道,雨竜郡妹背牛町,女,1445
北海道,雨竜郡秩父別町,計,2331
北海道,雨竜郡秩父別町,男,1082
北海道,雨竜郡秩父別町,女,1249
北海道,雨竜郡雨竜町,計,2214
北海道,雨竜郡雨竜町,男,1077
北海道,雨竜郡雨竜町,女,1137
北海道,雨竜郡北竜町,計,1713
北海道,雨竜郡北竜町,男,824
北海道,雨竜郡北竜町,女,889
北海道,雨竜郡沼田町,計,2951
北海道,雨竜郡沼田町,男,1403
北海道,雨竜郡沼田町,女,1548
北海道,上川郡鷹栖町,計,6701
北海道,上川郡鷹栖町,男,3179
北海道,上川郡鷹栖町,女,3522
北海道,上川郡東神楽町,計,10110
北海道,上川郡東神楽町,男,4772
北海道,上川郡東神楽町,女,5338
北海道,上川郡当麻町,計,6267
北海道,上川郡当麻町,男,2910
北海道,上川郡当麻町,女,3357
北海道,上川郡比布町,計,3532
北海道,上川郡比布町,男,1658
北海道,上川郡比布町,女,1874
北海道,上川郡愛別町,計,2612
北海道,上川郡愛別町,男,1226
北海道,上川郡愛別町,女,1386
北海道,上川郡上川町,計,3308
北海道,上川郡上川町,男,1562
北海道,上川郡上川町,女,1746
北海道,上川郡東川町,計,8390
北海道,上川郡東川町,男,3919
北海道,上川郡東川町,女,4471
北海道,上川郡美瑛町,計,9636
北海道,上川郡美瑛町,男,4516
北海道,上川郡美瑛町,女,5120
北海道,空知郡上富良野町,計,10342
北海道,空知郡上富良野町,男,5283
北海道,空知郡上富良野町,女,5059
北海道,空知郡中富良野町,計,4796
北海道,空知郡中富良野町,男,2293
北海道,空知郡中富良野町,女,2503
北海道,空知郡南富良野町,計,2363
北海道,空知郡南富良野町,男,1202
北海道,空知郡南富良野町,女,1161
北海道,勇払郡占冠村,計,1229
北海道,勇払郡占冠村,男,604
北海道,勇払郡占冠村,女,625
北海道,上川郡和寒町,計,3097
北海道,上川郡和寒町,男,1467
北海道,上川郡和寒町,女,1630
北海道,上川郡剣淵町,計,2950
北海道,上川郡剣淵町,男,1440
北海道,上川郡剣淵町,女,1510
北海道,上川郡下川町,計,3098
北海道,上川郡下川町,男,1487
北海道,上川郡下川町,女,1611
北海道,中川郡美深町,計,3991
北海道,中川郡美深町,男,1953
北海道,中川郡美深町,女,2038
北海道,中川郡音威子府村,計,682
北海道,中川郡音威子府村,男,361
北海道,中川郡音威子府村,女,321
北海道,中川郡中川町,計,1413
北海道,中川郡中川町,男,709
北海道,中川郡中川町,女,704
北海道,雨竜郡幌加内町,計,1332
北海道,雨竜郡幌加内町,男,662
北海道,雨竜郡幌加内町,女,670
北海道,増毛郡増毛町,計,3964
北海道,増毛郡増毛町,男,1810
北海道,増毛郡増毛町,女,2154
北海道,留萌郡小平町,計,2922
北海道,留萌郡小平町,男,1378
北海道,留萌郡小平町,女,1544
北海道,苫前郡苫前町,計,2888
北海道,苫前郡苫前町,男,1398
北海道,苫前郡苫前町,女,1490
北海道,苫前郡羽幌町,計,6531
北海道,苫前郡羽幌町,男,3134
北海道,苫前郡羽幌町,女,3397
北海道,苫前郡初山別村,計,1113
北海道,苫前郡初山別村,男,533
北海道,苫前郡初山別村,女,580
北海道,天塩郡遠別町,計,2466
北海道,天塩郡遠別町,男,1185
北海道,天塩郡遠別町,女,1281
北海道,天塩郡天塩町,計,2891
北海道,天塩郡天塩町,男,1465
北海道,天塩郡天塩町,女,1426
北海道,宗谷郡猿払村,計,2627
北海道,宗谷郡猿払村,男,1287
北海道,宗谷郡猿払村,女,1340
北海道,枝幸郡浜頓別町,計,3442
北海道,枝幸郡浜頓別町,男,1692
北海道,枝幸郡浜頓別町,女,1750
北海道,枝幸郡中頓別町,計,1637
北海道,枝幸郡中頓別町,男,815
北海道,枝幸郡中頓別町,女,822
北海道,枝幸郡枝幸町,計,7640
北海道,枝幸郡枝幸町,男,3659
北海道,枝幸郡枝幸町,女,3981
北海道,天塩郡豊富町,計,3756
北海道,天塩郡豊富町,男,1914
北海道,天塩郡豊富町,女,1842
北海道,礼文郡礼文町,計,2360
北海道,礼文郡礼文町,男,1202
北海道,礼文郡礼文町,女,1158
北海道,利尻郡利尻町,計,1931
北海道,利尻郡利尻町,男,946
北海道,利尻郡利尻町,女,985
北海道,利尻郡利尻富士町,計,2333
北海道,利尻郡利尻富士町,男,1139
北海道,利尻郡利尻富士町,女,1194
北海道,天塩郡幌延町,計,2240
北海道,天塩郡幌延町,男,1153
北海道,天塩郡幌延町,女,1087
北海道,網走郡美幌町,計,18563
北海道,網走郡美幌町,男,9036
北海道,網走郡美幌町,女,9527
北海道,網走郡津別町,計,4331
北海道,網走郡津別町,男,2121
北海道,網走郡津別町,女,2210
北海道,斜里郡斜里町,計,11001
北海道,斜里郡斜里町,男,5424
北海道,斜里郡斜里町,女,5577
北海道,斜里郡清里町,計,3879
北海道,斜里郡清里町,男,1912
北海道,斜里郡清里町,女,1967
北海道,斜里郡小清水町,計,4579
北海道,斜里郡小清水町,男,2173
北海道,斜里郡小清水町,女,2406
北海道,常呂郡訓子府町,計,4738
北海道,常呂郡訓子府町,男,2278
北海道,常呂郡訓子府町,女,2460
北海道,常呂郡置戸町,計,2715
北海道,常呂郡置戸町,男,1257
北海道,常呂郡置戸町,女,1458
北海道,常呂郡佐呂間町,計,4842
北海道,常呂郡佐呂間町,男,2295
北海道,常呂郡佐呂間町,女,2547
北海道,紋別郡遠軽町,計,18956
北海道,紋別郡遠軽町,男,9249
北海道,紋別郡遠軽町,女,9707
北海道,紋別郡湧別町,計,8316
北海道,紋別郡湧別町,男,3975
北海道,紋別郡湧別町,女,4341
北海道,紋別郡滝上町,計,2412
北海道,紋別郡滝上町,男,1176
北海道,紋別郡滝上町,女,1236
北海道,紋別郡興部町,計,3687
北海道,紋別郡興部町,男,1821
北海道,紋別郡興部町,女,1866
北海道,紋別郡西興部村,計,1033
北海道,紋別郡西興部村,男,521
北海道,紋別郡西興部村,女,512
北海道,紋別郡雄武町,計,4223
北海道,紋別郡雄武町,男,2045
北海道,紋別郡雄武町,女,2178
北海道,網走郡大空町,計,6843
北海道,網走郡大空町,男,3323
北海道,網走郡大空町,女,3520
北海道,虻田郡豊浦町,計,3731
北海道,虻田郡豊浦町,男,1767
北海道,虻田郡豊浦町,女,1964
北海道,有珠郡壮瞥町,計,2392
北海道,有珠郡壮瞥町,男,1142
北海道,有珠郡壮瞥町,女,1250
北海道,白老郡白老町,計,16052
北海道,白老郡白老町,男,7613
北海道,白老郡白老町,女,8439
北海道,勇払郡厚真町,計,4393
北海道,勇払郡厚真町,男,2199
北海道,勇払郡厚真町,女,2194
北海道,虻田郡洞爺湖町,計,8235
北海道,虻田郡洞爺湖町,男,3823
北海道,虻田郡洞爺湖町,女,4412
北海道,勇払郡安平町,計,7394
北海道,勇払郡安平町,男,3646
北海道,勇払郡安平町,女,3748
北海道,勇払郡むかわ町,計,7579
北海道,勇払郡むかわ町,男,3731
北海道,勇払郡むかわ町,女,3848
北海道,沙流郡日高町,計,11445
北海道,沙流郡日高町,男,5786
北海道,沙流郡日高町,女,5659
北海道,沙流郡平取町,計,4659
北海道,沙流郡平取町,男,2276
北海道,沙流郡平取町,女,2383
北海道,新冠郡新冠町,計,5249
北海道,新冠郡新冠町,男,2571
北海道,新冠郡新冠町,女,2678
北海道,浦河郡浦河町,計,11720
